Nº_EMPLEADO;NOMBRE;ANYO_EXP;NIF;SUELDO;Nº_EMP_JEFE;FECHA
cud31;Hazel Peralta;9;66874295R;2395.55;mnt06;2017-11-01
cud32;Lyndsay Grant;12;70243135P;2987.34;rst33;1999-05-01
cud33;Michael Nelson;12;91745239X;1561.53;ger06;1991-01-17
cud34;Tonya Huff;4;59165678H;2433.23;ger00;2015-07-22
ger00;Freddie Rodriguez;6;32847244R;2146.74;;
ger01;William Barna;4;21373097W;1815.85;mnt02;2001-01-23
ger02;Irene Laitila;15;22103329F;2791.73;mrg09;2000-04-26
ger03;James Soliz;4;39125342L;1673.18;mrg02;2018-10-06
ger04;Ashley Lynch;6;72636961V;1653.92;rst18;2016-09-09
ger05;Kristina Knutson;0;22946637C;2343.34;cud19;2005-07-26
ger06;Mayra Rouse;0;47129732H;1019.25;ger04;2003-03-13
ger07;Penny Harry;14;44640735N;1926.74;rst18;1991-06-18
ger08;Hazel Trail;8;31935566C;1040.85;enc36;2018-03-21
ger09;Jerry Johnson;0;51179612N;2323.59;rst09;1997-08-02
ger10;Brenda Haddock;15;30088562P;2178.19;enc21;2010-07-16
ger11;Robert Mcnew;11;36078847N;1305.42;cud32;2017-09-09
ger12;Chris Lara;8;56638635P;840.56;seg19;2000-02-22
ger13;Lynn Reynolds;15;81979627Z;2911.08;cud25;2016-12-10
ger14;Candace Thomas;13;74827067V;1501.16;enc10;1994-05-06
mnt00;Angela Taylor;5;25621462Z;1977.52;cud34;2007-05-26
mnt01;Harris Santa;0;60974501Y;2565.76;seg10;2005-07-08
mnt02;Kristin Weldon;7;26907249D;883.32;cud05;1997-11-01
mnt03;Elizabeth Stpierre;14;21352206H;2366.34;enc14;1994-12-13
mnt04;Chris Swearinger;0;29056682T;827.39;ger06;2006-06-12
mnt05;Celia Hey;11;92225771A;2162.16;mrg03;1991-09-14
mnt06;Eleanor Pacheco;2;19873959G;1264.86;ger00;2006-10-17
mnt07;Allen Zimmerman;0;92170941M;2429.67;rst15;2001-09-14
mnt08;Carol Williams;1;48910424G;2586.65;rst20;2001-01-22
mnt09;Wesley Biss;3;45056104R;1821.76;seg19;1995-11-18
mnt10;Rebecca Wirth;8;32829546J;2144.96;seg14;2016-12-08
mnt11;Anthony Post;13;33840147V;2212.34;mnt08;2015-07-15
mnt12;Laurie Valencia;4;14774412V;2872.41;enc13;2006-08-04
mnt13;Pamela Jones;9;53810651N;2347.04;enc25;2015-08-16
mnt14;Estell Spivey;2;56647354X;2809.22;enc02;2015-06-24
mnt15;Susan Sibbett;15;85281811L;1949.49;rst16;1996-03-09
mnt16;Stanley Salmons;12;88644974F;1116.79;enc02;2000-02-10
mnt17;Brian Price;1;59299651Q;894.79;cud26;2007-02-08
mnt18;Earl Kafka;2;84804750R;2188.42;rst33;2014-05-23
mnt19;Kurt Resh;15;16479823R;2029.9;rst07;1993-01-27
enc00;James Gabbard;13;24606045R;1409.37;seg08;2013-05-19
enc01;Betty Shirk;15;12690069A;1885.98;rst33;2003-09-28
enc02;Gary Hutcherson;6;77487045E;2656.12;enc10;2005-04-09
enc03;Mary Peters;4;78829609F;2686.04;seg07;2006-01-24
enc04;Henrietta Cohen;1;46038396D;2748.73;ger07;1990-01-01
enc05;Ashly Zahner;6;30896702C;2859.78;mnt02;1991-04-18
enc06;Harold Visser;6;48412002S;2786.39;rst23;2002-07-31
enc07;Damaris Frost;1;64018758Y;1303.25;rst15;2015-06-05
enc08;Nelson Martin;7;14670424N;1794.37;cud34;2018-03-31
enc09;Briana Santiago;6;83386409R;1946.07;enc39;2010-04-01
enc10;Steven Riccio;4;56963376N;1526.42;rst14;2008-08-05
enc11;Gregory Ly;5;98567251S;2887.93;mnt08;1996-08-15
enc12;Richard Baylor;0;76830041J;1746.85;seg02;1992-10-12
enc13;Benjamin Raymer;10;35986303C;1584.05;rst16;2012-11-28
enc14;Patrick White;11;21830074S;957.57;ger02;1999-05-17
enc15;Kathleen Rangel;12;93238741F;1035.22;cud32;2015-01-07
enc16;Karen Babbitt;0;96367068N;1744.16;mnt15;1996-05-23
enc17;Elsie Stern;10;80784749D;1124.65;enc21;2012-07-16
enc18;Gordon Price;2;70646085K;1122.69;ger14;2009-07-18
enc19;Barbara Saenz;15;26538932Z;2452.19;enc04;2003-07-22
enc20;Joshua Williamson;15;88739770C;1800;seg14;1998-11-20
enc21;Walter Harris;0;96513683W;2325.13;cud32;2002-06-10
enc22;Chasity Gibson;10;26826694T;2609.17;seg13;2009-10-01
enc23;Holly Mitchum;6;67530275K;1057.54;rst33;1993-06-07
enc24;Melinda Montgomery;11;11129718H;2025.33;rst07;1998-11-10
enc25;Harry Hunt;11;15151951B;1453.55;rst16;2008-05-02
enc26;Maureen Turk;2;60751823Z;895.43;cud00;1990-08-06
enc27;Cindy Andersen;2;20146103N;1087.65;enc08;2004-06-01
enc28;Curtis Ortiz;11;70596969X;2047.22;cud20;2017-10-14
enc29;Timothy Dennis;11;78681222Q;2206.33;enc01;2015-01-12
enc30;Liana Hayes;7;85523994N;2117.56;rst10;2004-10-30
enc31;Carlton Colombo;0;89975310T;888.26;cud07;1995-12-29
enc32;Robin Sydnor;3;54034755G;897.71;seg13;2011-09-12
enc33;Roger Huntley;0;74692022M;2004.2;mnt01;2017-07-07
enc34;Juan Hillard;1;66311437E;2774.87;enc04;2012-08-17
enc35;Joesph Bradish;10;24772279Z;2625.18;mnt06;2018-08-05
enc36;Margaret Estes;6;80134687L;2897.09;cud34;2017-06-27
enc37;Kenneth Raggio;8;26749435K;927.87;ger12;1994-05-07
enc38;Thelma Juariqui;0;88732856Y;884.37;ger12;1990-04-04
enc39;Thomas Rocha;5;73181782Z;1105.13;seg05;2009-05-16
rst00;Bessie Kelley;12;41244090F;2928.4;ger06;1994-03-31
rst01;Jerome Marion;5;94450423A;1201.25;enc25;2001-06-18
rst02;Edward Keller;6;19699876P;2494.41;mrg24;2011-05-02
rst03;Greg Ebbs;8;78307389W;2327.73;mnt02;2005-12-19
rst04;Drucilla Everhart;11;49363382T;2572.67;ger04;2003-06-29
rst05;Jeffrey Freeman;11;59736129T;1420.28;seg14;1992-04-04
rst06;Jeffrey Kennedy;11;62210052C;810.4;mnt09;2008-03-18
rst07;Albert Wyatt;0;99294065Y;2115.49;rst14;1993-10-08
rst08;Kimberly Brooks;7;77630042M;2826.03;seg22;2002-05-10
rst09;Marilyn Schreimann;14;52157931A;1160.53;enc09;1999-04-12
rst10;Sherry Thompson;14;88324288X;948.89;seg10;2002-05-10
rst11;Leslie Grier;9;22148446K;1556.98;enc01;1991-05-01
rst12;Mary Morales;11;83063113Q;2710.96;mnt09;2003-07-06
rst13;Constance Minutillo;10;31131640J;1610;seg22;2008-06-21
rst14;Alberta Demars;0;70750702B;1226.81;rst18;1996-11-14
rst15;Ernest Knight;12;81846442E;1129.18;enc01;1997-01-30
rst16;Clinton Haywood;10;45534236D;2036.12;cud31;2018-04-20
rst17;Anna Kreisher;6;31553031K;1870.86;mrg09;2015-01-05
rst18;Joey Willis;12;74200425X;1084.72;seg05;2007-09-02
rst19;Alicia Baker;4;49068808X;1958.74;seg24;2010-06-06
rst20;Raymond Fernandez;5;26136060X;2843.74;enc35;1991-01-08
rst21;Travis Groh;15;45496464A;948;rst15;1994-02-26
rst22;Jean Simpson;6;73306988P;1004.66;cud05;2008-05-10
rst23;Margaret Storrs;12;63814112Z;1166.93;enc23;1992-11-23
rst24;George Lenz;11;32889241T;2621.98;ger11;1997-12-27
rst25;Teresa Morales;10;69132061H;1000.66;rst09;1995-11-28
rst26;Doreen Godwin;9;55241580L;2508.93;ger12;2011-02-01
rst27;Carl Douglas;8;31923651L;1975.88;enc15;2001-10-12
rst28;Donna Megginson;12;37527267F;1833.3;enc29;2011-07-23
rst29;Henry Lopez;3;87871833B;1942.61;seg08;2017-06-20
rst30;Lydia York;12;27851234M;2429.67;cud07;2018-09-07
rst31;Tony Misfeldt;14;26443866F;1526.18;cud26;2007-12-12
rst32;James Stoner;9;20120442L;2891.99;ger00;2006-11-11
rst33;Lawrence Mazza;12;92163879G;1959.65;rst32;2017-01-26
rst34;Carlos Scarborough;14;85138888H;2306.36;seg19;1993-04-09
rst35;Carl Neumeyer;6;81290430N;2015.1;ger11;2009-08-28
rst36;Joe Wyche;11;29873766D;1541.05;mnt00;1992-12-06
rst37;Margret Rayburn;13;89066817F;2578.31;rst34;1998-11-20
rst38;Meghan Lane;10;63846978J;2330.39;seg23;2014-05-25
rst39;Mia Radune;3;12552025M;1740.96;cud05;2012-08-28
mrg00;Dina Hopkins;15;26197878G;2657.39;seg07;1993-09-20
mrg01;Todd Delaney;14;80854218H;2419.19;mnt09;2005-09-26
mrg02;Christopher Whalen;0;43296351R;2650.98;cud05;2006-07-29
mrg03;Patrick Hunnings;4;39308684M;1327.03;rst14;1995-11-14
mrg04;Shiela Powell;11;27804786V;1039.14;seg02;2007-01-13
mrg05;Fabiola Gaines;5;29858103D;1174.51;rst04;1998-05-12
mrg06;Shelia Lindley;15;51270097S;2068.72;mnt01;2017-01-16
mrg07;John Sawyer;5;17110421P;2878.26;rst22;1993-11-02
mrg08;Philip Mcknight;15;85020452D;1069.18;enc36;2012-11-17
mrg09;Steven White;6;25955092Y;1729.37;seg05;2000-12-26
mrg10;Patricia Smith;10;31011821R;2199.21;rst39;2002-05-10
mrg11;Salvador Slaney;4;41591105K;1053.15;cud07;1995-10-02
mrg12;Daniel Fritz;0;83917799E;1077.45;mrg09;1990-12-12
mrg13;Julie Saunders;11;55045855R;1073.76;enc15;2015-11-20
mrg14;Angela Byrd;2;88408250E;2068.42;enc25;2003-08-02
mrg15;Jacquelyn Snoddy;8;97047224N;2315.18;seg22;1993-05-25
mrg16;Eric Evans;6;32995545K;2163.55;rst17;2008-06-08
mrg17;Mandy Fitzgibbon;11;18696789C;968.2;rst23;2013-01-31
mrg18;Lydia Evans;7;78174542A;1655.56;cud24;2003-10-23
mrg19;Lane Thompson;7;31589947E;2213.17;seg07;2008-03-01
mrg20;Sergio Morin;5;87697399D;2528.49;cud19;2003-05-14
mrg21;Chris Harris;5;89005796M;2544.51;ger12;2016-10-01
mrg22;Josephine Canty;15;65423303X;1630.77;mnt15;2004-09-22
mrg23;Troy Cobb;5;60388479R;925.87;enc15;2010-08-17
mrg24;Angel Almanza;4;39324223L;2368.41;seg04;2010-04-15
seg00;Laura Wolfe;12;63688905L;1599.48;cud25;2005-06-25
seg01;Rose Mchale;7;64830940N;1988.23;mrg03;2002-12-05
seg02;Herbert Graves;4;85207763P;2956.25;cud28;2015-07-14
seg03;Jack Gross;11;90444489W;940.71;mnt19;1994-10-16
seg04;Ryan Miller;12;33672784W;2624.72;mnt06;2007-04-29
seg05;Raymond Mccleery;7;88620228D;1375.4;ger00;1992-02-27
seg06;Riley Saville;8;95208371D;1974.93;rst10;2017-03-31
seg07;Andrew Sawyer;4;26717422R;2416.53;rst17;2012-02-10
seg08;Faith Holmes;1;23147423Q;1025.63;rst07;1995-10-26
seg09;Walter Yon;13;49948287S;1915.45;rst38;2001-02-12
seg10;Ryan Skinner;8;26200812V;2218.68;cud24;2006-07-17
seg11;James Marlor;1;88883048P;1842.03;rst10;2002-01-25
seg12;Elsie Lopez;8;61041282H;1601.92;mrg03;1995-08-16
seg13;Robert Williams;3;81972100P;2894.43;rst17;1992-08-07
seg14;Robert Taylor;3;71336016K;1887.62;mrg12;2003-04-21
seg15;Steven Dillon;10;13903857N;2062.28;mrg16;2017-11-24
seg16;Matthew Jefferson;4;17919014J;1779.84;rst23;1994-08-02
seg17;Brian Deleon;9;41824841P;2211.41;cud26;2008-10-16
seg18;Leandro Hunsaker;10;24648382H;1508.61;seg07;2007-01-14
seg19;John Crowe;11;51315864N;1025.18;cud24;1998-05-16
seg20;Hayden Smith;2;67768597V;1893.21;mnt19;2018-09-23
seg21;William Klein;6;75267831D;926.59;rst22;2016-08-11
seg22;Lorraine Ashley;11;79207991Q;1287.26;mnt18;2014-01-23
seg23;Steven Mcpherson;8;72797917L;1343.62;cud18;2010-08-01
seg24;Catherine Bennett;5;96819560W;1727.66;mrg12;2017-12-05
